trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
544,False,"{'a': 0.6, 'e': 0.0042222686343565225}",25,7,29.38030082776503,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.6, 'e': 0.0041800459480129575}",30,11,24.54107328470321,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.6, 'e': 0.0041382454885328275}",25,15,21.277794354981715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.6, 'e': 0.004096863033647499}",20,13,12.99274935189986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.6, 'e': 0.0040558944033110235}",25,14,19.749538084685305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.6, 'e': 0.0040153354592779135}",20,16,8.718580628456253,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.6, 'e': 0.0039751821046851345}",25,3,30.30724952597021,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.6, 'e': 0.003935430283638283}",25,17,13.55187136714612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.6, 'e': 0.0038960759808019003}",30,5,39.195615370027326,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.6, 'e': 0.003857115220993881}",25,17,16.16161397580075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.6, 'e': 0.003818544068783942}",20,12,16.564482446810636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.6, 'e': 0.0037803586280961026}",30,14,-16.15293883964445,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
556,False,"{'a': 0.6, 'e': 0.0037425550418151415}",20,13,12.349196578986833,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.6, 'e': 0.00370512949139699}",20,15,12.766645909136422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.6, 'e': 0.0036680781964830204}",25,14,17.747036216085352,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.6, 'e': 0.00363139741451819}",20,0,37.60670688256627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
560,False,"{'a': 0.6, 'e': 0.003595083440373008}",25,20,9.584271653582343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.6, 'e': 0.003559132605969278}",20,7,24.651838374040647,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
